linkid  直行	左转	右转
2215011	-3221700		2228153
2222099		2222259	-2221648
-2215075		-1966299	2215081
-2215081	-1966299	2215075	
2215081	3221768		3221769
2215075			
-2215113		-3221768	-2215103
2215113			2215119
3220249	2215119		-2215113
2215119	3221773		3221772
2215894	3220284		2216684
3220243	3221443		
3220240	3221443		
3221443			
2215745	2215866		
2215866	3220282		-2215884
2215884			3220282
3220282	3221437	3220283	
-2215884			
2216684	3220232		3220230
3220284	3221440		3220285
2216562	2216716		
2216716	3220287		
2216635	2217378		
3220649	2217378		
2217378			
-2217178			2217271
2216658	2217271		2217178
2217271	3221573		
2217178			
3220287	3221572		
2220860	3220290		3220238
3220238	3220237	3220239	
3220290	2217155		3220291
2217303			2217316
3220280	2217316		-2217303
2217316			
-2217303			
2221464	2221638		
-2221638	-2221464		
2221638		-2221588	2221610
-2221464			
-2221610	-2221588	-2221638	
2221610	2221648	2222129	
-2221648	-2221610		2222129
2221648	2222259	-2222099	
-2222259	-2221648		-2222099
2222259	2222411		
-2222411	-2222259		
2222411			
-2225179	-3221717		
2225179	3221566		
2225292	3219214		
2225248	2225255	2225313	
-2225313	-3221653	2225255	
3221566	3221653		3221654
2225313	2228275	2226013	
-3221566	-2225179		
2225255	2225979		
2225985		2225979	
2225979	3219806		
2226013	3219214		
3219214	2226101		
-2228275	-2225313		
2226007	2226013	-2225313	
2228275	3221655		
2225967	2225934		-3221673
2225934		3221533	3221534
3221549	3219639		
2214274	3219639		
3219639	3219207		
2225944	3219642		3221698
3219642	2226020		
-2227328			3221543
2227328	3221767	-3221697	3221700
3221543	3221548		
3219806	2225967		
2226020	2226007	2225985	3221657
-2228153		-2215011	-3221700
2228153	2233832		
-2233832	-2228153		
2233832			
-2229041	-3221585		
3221585	2229041		
-3221585	-3221655		
2229041			
-2229529	-3221701		
2229529			
3218919	2220105		
3220289	2220105		
3218924		3220234	3218925
3220234	3220233		
3218925	3220231		
3218927	3220241		3220388
3219210	3219637		3219212
3219207	3221684		3221682
3221561	3221683		
3219637	3219645		
3219212	3219211		
3221601	3219211		
3221540	2226101		
3221538	2214284		
3219219	3221692		-3221693
3221556	3219636	3219638	
3221596	3219636		
3219638	3219645		
3219636	3221648		3221649
3219645	1692996		3219647
3219641	3219207		
3221553	1693074	3219641	
1693074	3221557	3221558	3221630
1692996	3221565		
3219647	3219646		
3221551		3219646	3221710
3219648	3220244	3220246	
3220241	3219651		
3219651	3219654		
3220390	3219654		
3219654	3220243		
-3220102	-1681461		
3220102	3221612		
3220294	3220296		3218919
3220218		3220217	
3220217	3220385		
3220221	3220220		
3221440	2216562		
3220230	3220233		
3220232	3220231		
3220231	3220650		
3220233	3220649		
3220236	3221433		
3220235	3220240		
3220237	2217125		
3221433	2217125		
3220239	3220240		
3220388	3220389		
3220246	3220389		
3220389	3220390		3220248
3220248	3221434		
3221434	3220249		
3220651	3220249		
3220273	2216635		
3220274	3220386		
3220279	2216635		
3220276	3220277		
3220275	3220651	3220653	
3220386	3220277		
3220277	3220652		
3220652	3220281	3220279	
3220281	3220280		
3221573	3220280		
3221437	2216658		
3220283	3220286		
3220285	3220286		
3220286	3220289	3220288	
3220288	2216703		
3221572	2216703		
3220291	3220394		
3220394	3220292	3220293	
3220296	3220394		
3220438			3220437
3221577	1581128	1580375	3221610
-3221577	-1962758	-3221642	
3221610			1581134
3220446	3220445		
3220653	3220652		
3221526		3221527	
3221528	3221527	-3221526	
3221527	3221542		
-3221526	2213262	3221531	
3221544	3221528	3221529	
3221529	3221537		
3221531	3221537		
3221537	3221539		-3221675
3221534		3221530	3221532
3221532	3221531	3221526	2213262
3221530	3221542		
3221542	3221567		
-2213262	3221526		3221531
2213262	3221568		
3221533	3221535	3221536	
3221535	3221539		
3221536	2214284		
3221539	3221546		
3221567	3221548		
3221548	2225944	3221549	
3221569	3221545	3221544	
3221555	3221551		
3221552	3221551		
3221554	3221553		
3221558		3221556	
3221562	3221561		
3221560	3221594		3221597
3221598	3221561		
-3221578	-1578878	-3221638	-3221637
