LinkID	BA	Anode	Bnode	Length
3221659	NW	12	13	0.061867
3221660	SW	14	4095	0.067163
3221661	N	15	4095	0.116513
3221662	NE	16	6359	0.039718
3221663		17	6378	0.143109
3221664	NW	6382	17	0.186127
3221665		10777	6366	0.005889
3221666		18	6366	0.005195
3221667		18	10776	0.015339
3221668	SW	19	6367	0.009719
3221669	SE	20	6367	0.008906
3221670		19	20	0.014109
3221671	NE	21	6367	0.037554
3221672	W	22	6376	0.01685
3221673	W	23	6503	0.174168
3221674	SE	24	13	0.204093
3221675	SW	24	11691	0.174795
3221676	W	25	6397	0.031845
3221677	W	6397	26	0.155134
3221678	NE	27	4992	0.139442
3221679		31	29	0.215321
3221680		10203	29	0.330818
3221681		4116	31	0.097255
3221682		32	33	0.103317
3221683		33	10205	0.088369
3221684		32	10204	0.384578
3221685	NE	30	6385	0.025754
3221686	NW	34	2051	0.006544
3221687		35	37	0.054999
3221688	E	36	35	0.008691
3221689		37	10212	0.004953
3221690	E	38	37	0.007823
3221691		39	11718	0.073961
3221692		40	39	0.034264
3221693	E	41	40	0.011392
3221694	E	42	39	0.00721
3221695	NW	43	6417	0.262959
3221696	NW	44	43	0.040839
3221697	NW	45	46	0.40526
3221698	SW	47	45	0.067662
3221699	NE	48	45	0.090219
3221700	NW	46	6510	0.075345
3221701	SW	49	6514	0.189394
3221702	NW	50	49	0.104109
3221703	SE	51	49	0.015838
3221704	NW	52	50	0.209818
3221705	NE	53	50	0.083054
3221706	S	54	4127	0.039781
3221707	S	55	54	0.561827
3221708	E	55	4069	0.115487
3221709	NE	56	4103	0.133539
3221710		10507	2	0.030751
3221711	SE	57	4111	0.008187
3221712		57	58	0.023486
3221713	SW	58	11743	0.134484
3221714		59	57	0.005597
3221715	SW	59	4111	0.003183
3221716		60	61	0.008317
3221717	SW	60	6497	0.72849
3221718	S	61	4093	0.058327
3221719		62	63	0.009794
3221720	SW	62	4098	0.009211
3221721	S	63	4098	0.01258
3221722	SE	64	4106	0.003558
3221723		64	65	0.012704
3221724	SW	65	4132	0.072107
3221725		65	66	0.02534
3221726	SE	66	11763	0.054609
3221727		67	68	0.010178
3221728	SE	67	4092	0.119212
3221729	SW	68	4090	0.007369
3221730	SW	69	62	0.288831
3221731		69	67	0.017189
3221732	SE	70	4090	0.004323
3221733		68	70	0.012311
3221734		70	69	0.010302
3221735	SW	71	68	0.161257
3221736		71	72	0.01534
3221737	SE	72	4072	0.313542
3221738	SE	73	4088	0.009808
3221739		73	71	0.017118
3221740	SW	74	4088	0.00552
3221741		74	73	0.013359
3221742		72	74	0.01693
3221743	SW	75	4097	0.18326
3221744		75	76	0.012701
3221745	SE	76	4091	0.111708
3221746	SE	77	4094	0.00477
3221747		77	75	0.013596
3221748		78	77	0.01082
3221749	SW	78	4094	0.004247
3221750		76	78	0.009126
